Game,As of,Player count[a],Release date,Publisher(s),Ref.
Free Fire,August 2021,150million peakdaily players,December 2017,Garena,[1]
PUBG Mobile,August 2023,300 millionmonthly players,March 2018,Tencent Games/Krafton,[citation needed]
Call of Duty: Mobile,May 2021,500million downloads[b],"October 1, 2019",Activision,[2]
Among Us,November 2020,485million[c],"June 15, 2018",InnerSloth,[3]
Mini World,April 2020,400million,"December 26, 2015",Minovate,[4]
Dragon Ball Z: Dokkan Battle,August 2021,350million,"January 30, 2015",Bandai Namco Entertainment,[5]
Sonic Dash,February 2020,350million,"March 7, 2013",Sega,[6]
Helix Jump,December 2018,334million,"February 10, 2018",Voodoo,[7]
Gardenscapes: New Acres,May 2020,324million,August 2016,Playrix,[8]
Homescapes,May 2020,312million,August 2017,Playrix,[8]
Super Mario Run,August 2018,300million,"December 15, 2016",Nintendo,[9]
Township,May 2020,274million,"February 24, 2012",Playrix,[8]
Knives Out,September 2018,250million,November 2017,NetEase,[10]
Angry Birds 2,December 2019,230million,"July 30, 2015",Rovio Entertainment,[11]
Honor of Kings/Arena of Valor,December 2017,200million peakmonthly players,"November 26, 2015",Tencent Games,[12]
QQ Speed Mobile / Speed Drifters,January 2020,200million,"December 29, 2017",TiMi Studios/Tencent Games/Garena,[13]
Fishdom,May 2020,173million,"June 18, 2008",Playrix,[8]
Rise Up,December 2018,162million,2018,Serkan Özyılmaz,[14]
PES 2018 Mobile,August 2018,150million,"September 12, 2017",Konami,[15]
War Robots,January 2020,150million,"April 14, 2014",Pixonic,[16]
World of Tanks,March 2016,140million,"August 12, 2010",Wargaming,[17]
Mario Kart Tour,October 2019,123.9million,"September 25, 2019",Nintendo,[18]
Ice Age Village,2013,120million,"April 5, 2012",Gameloft,[19]
FIFA Mobile(nowEA FC),January 2018,113million,"October 1, 2016",EA Sports,[20]
Subway Surfers,July 2019,100millionmonthly players,"May 24, 2012",SYBO Games,[21]
Tiao Yi Tiao,January 2018,100million peakdaily players,December 2017,Tencent Games,[22]
Drag Racing,February 2013,100million,April 2011,Creative Mobile,[23]
Junior Three Kingdoms,January 2018,100million,March 2015,Youzu Interactive,[24]
Ludo King,December 2018,100million,"December 17, 2016",Gametion Technologies Pvt Ltd,[25]
One Piece Treasure Cruise,February 2019,100million,"May 12, 2014",Bandai Namco Entertainment,[26]
Star Wars: Galaxy of Heroes,November 2021,100million,"November 24, 2015",Electronic Arts,[27]
White Cat Project,June 2016,100million,"July 14, 2014",Colopl,[28]
Hearthstone,November 2018,100million,"March 11, 2014",Blizzard Entertainment,[29]
Yu-Gi-Oh! Duel Links,October 2019,100million,"November 17, 2016",Konami,[30]
Love Nikki-Dress UP Queen,May 2019,100million,"May 20, 2015",Tencent Games,[31]
Sky: Children of the Light,July 2021,100million,"July 18, 2019",thatgamecompany,[32]
Mr Love: Queen's Choice,July 2019,90million,"December 14, 2017",Elex,[33]
The Battle Cats,August 2023,84million,"September 17, 2014",PONOS,[34]
Disney Tsum Tsum,November 2018,80million,"January 29, 2014",Line Corporation,[35]
Puzzle & Dragons,January 2019,80million,"February 20, 2012",GungHo Online Entertainment,[36]
The Simpsons: Tapped Out,April 2020,80million,"February 29, 2012",Electronic Arts,[37]
Marvel: Avengers Alliance,March 2015,70million,"March 1, 2012",Disney Interactive,[38]
Genshin Impact,February 2023,65 million,"September 28, 2020",HoYoverse,
Angry Birds Friends,August 2013,60million,"February 13, 2012",Rovio Entertainment,[39]
Seven Knights,February 2021,60million,"February 5, 2016",Netmarble Japan,[40]
Fate/Grand Order,February 2021,57million,"July 30, 2015",Aniplex/Type-Moon,[41]
Bleach: Brave Souls,February 2021,55million,"July 23, 2015",KLab,[42]
Gods of Boom,October 2018,55million,"May 18, 2017",Game Insight,[43]
Final Fantasy XV: A New Empire,January 2019,51million,"June 29, 2017",MZ,[44]
Clash Royale,September 2018,50million daily players,"March 2, 2016",Supercell,[45]
Flappy Bird,February 2014,50million,"May 24, 2013",dotGears,[46]
LINE Rangers,March 2018,50million,"February 28, 2014",Line Corporation,[47]
My Singing Monsters,January 2025,55 million,"September 12, 2012",Big Blue Bubble,
